,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,Name,ORB,PF,PTS,STL,TOV,TRB,eFG%,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
20,1.7,.476,3.6,0.0,.000,0.0,0.7,0.5,2.9,1.7,.474,3.6,1.2,.628,1.9,153,17,NBA,14.0,Jeff Adrien,1.4,1.7,4.6,0.3,0.6,4.3,.474,.004,7.5,2.9,-2.5,-0.1,23.9,1.9,.517,-2.4,11.5,2.5,15.0,1.2,11.7,17.5,.518,16.3,-0.3,4.4,.098
21,0.6,.366,1.8,0.1,.250,0.5,0.2,0.1,0.5,0.8,.339,2.3,0.4,.566,0.6,82,4,NBA,6.2,Maurice Ager,0.1,0.8,2.1,0.1,0.4,0.6,.368,.233,6.1,0.9,-10.4,-3.2,8.8,0.3,.280,-7.2,1.9,-1.3,2.8,0.6,12.0,5.4,.398,22.1,-1.1,-0.9,-0.089
22,7.4,.500,14.7,0.4,.312,1.4,3.1,0.3,3.1,7.8,.484,16.1,4.0,.741,5.4,923,639,NBA,30.0,Mark Aguirre,1.8,2.8,20.0,0.7,2.5,5.0,.498,.085,16.9,0.6,1.3,-1.4,11.6,21.3,.333,2.6,6.9,46.5,19.0,1.2,11.9,9.2,.542,29.1,22.7,67.8,.117
23,0.4,.233,1.6,0.7,.298,2.5,1.2,0.0,1.1,1.1,.273,4.1,1.7,.970,1.7,19,0,NBA,11.9,Blake Ahearn,0.1,1.4,4.6,0.4,1.2,1.2,.364,.610,15.5,0.0,-6.6,-3.1,11.2,0.1,.429,-3.5,0.5,-0.3,7.2,1.7,19.4,5.8,.481,23.6,-0.3,-0.2,-0.034
24,3.5,.502,7.0,1.0,.378,2.5,4.0,0.1,2.0,4.5,.469,9.5,1.6,.846,1.9,1042,508,NBA,26.6,Danny Ainge,0.7,2.4,11.5,1.1,1.5,2.7,.519,.268,20.8,0.3,1.3,-0.7,8.1,25.9,.200,2.0,2.9,45.7,14.7,2.0,12.7,5.6,.555,18.5,23.0,71.5,.124
25,2.2,.408,5.4,0.0,.000,0.0,0.4,,,2.2,.405,5.5,1.2,.675,1.7,45,,ABA,14.2,Matthew Aitch,,1.5,5.6,,0.8,3.6,.405,.008,4.1,,,,,0.5,.312,,,0.0,11.9,,11.6,11.3,.449,18.6,,0.5,.040
26,1.5,.352,4.2,0.0,.000,1.0,0.5,,2.0,1.5,.350,4.2,0.5,.676,0.8,88,,TOT,8.4,Henry Akin,0.0,1.5,3.5,,2.0,2.1,.350,.005,7.1,,,,,0.3,.191,,,-1.6,7.4,,42.9,7.0,.383,13.8,,-1.2,-0.081
27,3.1,.490,6.3,0.1,.252,0.4,1.1,0.3,2.1,3.2,.475,6.7,1.0,.775,1.3,325,41,NBA,16.9,Mark Alarie,1.3,2.2,7.5,0.4,1.0,3.4,.483,.062,9.3,1.1,-2.2,-1.1,13.8,4.5,.191,-1.2,8.4,3.9,13.0,1.1,11.5,11.0,.514,19.6,-0.3,8.4,.073
28,1.3,.293,4.5,,,,0.3,,,1.3,.293,4.5,0.7,.598,1.2,78,,NBA,10.8,Gary Alcorn,,2.2,3.3,,,4.2,.293,,,,,,,0.8,.261,,,-2.1,6.5,,,,.333,,,-1.3,-0.072
29,2.2,.479,4.5,0.0,.000,0.0,0.5,0.2,2.5,2.2,.478,4.6,0.7,.733,1.0,74,4,NBA,15.1,Chuck Aleksinas,1.2,2.3,5.1,0.2,1.0,3.6,.478,.003,4.4,0.8,-5.9,-2.0,20.1,0.4,.223,-3.9,8.1,0.1,9.1,0.6,16.3,13.6,.509,15.6,-1.1,0.4,.019
30,1.1,.417,2.7,0.8,.354,2.2,2.7,0.1,1.3,1.9,.389,4.9,0.9,.756,1.1,307,35,NBA,15.8,Cory Alexander,0.3,1.7,5.5,0.9,1.5,1.6,.468,.444,28.6,0.6,-2.2,-1.4,9.8,3.3,.233,-0.7,1.8,-0.3,12.4,2.9,21.9,5.7,.504,20.1,-0.2,3.0,.030
31,3.3,.429,7.7,0.2,.339,0.6,1.2,0.1,1.5,3.5,.422,8.3,1.8,.813,2.2,187,59,NBA,21.7,Courtney Alexander,0.7,2.0,9.0,0.6,1.1,2.2,.435,.078,9.7,0.3,-4.0,-2.1,8.2,2.1,.269,-1.9,3.5,2.0,11.5,1.4,10.5,5.8,.487,21.7,-2.1,4.1,.048
32,0.7,.571,1.3,0.0,,0.0,0.2,0.0,0.7,0.7,.571,1.3,0.3,.333,0.8,11,0,NBA,5.0,Gary Alexander,0.6,0.9,1.7,0.3,0.7,1.4,.571,.000,5.4,0.0,-5.8,-0.7,16.8,0.1,.643,-5.1,14.7,-0.1,8.6,2.9,30.8,15.8,.529,21.0,-0.1,0.0,-0.032
33,1.3,.426,3.0,0.2,.340,0.7,0.7,0.4,1.1,1.5,.410,3.7,0.9,.698,1.3,67,0,NBA,11.1,Joe Alexander,0.7,1.7,4.2,0.2,0.8,1.8,.442,.187,9.5,3.3,-3.3,0.2,12.2,0.8,.343,-3.5,7.0,-0.3,9.9,1.1,15.3,9.5,.488,20.5,-0.2,0.5,.030
34,3.8,.525,7.2,0.1,.286,0.2,0.9,0.6,3.3,3.8,.518,7.4,1.1,.634,1.8,286,155,NBA,20.1,Victor Alexander,1.6,2.5,8.9,0.5,1.3,4.8,.522,.030,6.7,1.9,-2.6,-0.8,17.9,4.9,.239,-1.9,8.6,3.9,13.7,1.1,13.9,13.3,.541,19.5,-0.9,8.8,.073
